Id,Family,Tribe,Genus,Subgenus,"Specific epithet ",Scientific name authorship,Body size class,"ITDmeasured ",Mhd,Thd,Mfd,Mcd,Location of measured specimen,Known distribution,"New record ",Locality,"Crop pollinator ",Sociality,Nest location,Level,"Ref. "
50,Apidae,Centridini,Centris,Centris,flavifrons,"Fabricius, 1775",large,5.5,13.62595,5.78584,9.03868,11.89943,UFMG,"Mexico (Sinaloa); Neotropical Region: Argentina (Misiones); Brazil(Amapá, Amazonas, Paraná, Pará, São Paulo); Colombia (Cauca); Ecuador; French Guiana (Cayenne); Guyana; Mexico; Panama (Chiriquí); Paraguay; Venezuela",yes,canaa dos carajas,yes,Solitary,soil,species,"Martins, C. F.; Peixoto, M. P.; Aguiar, C. M. L. (2014) Plastic nesting behavior of Centris (Centris) flavifrons (Hymenoptera: Apidae: Centridini) in an urban area. Apidologie 45: 156–171."
51,Apidae,Centridini,Centris,Centris,nitens,"Lepeletier, 1841",large,4.1,5.09031,2.24128,4.5947,5.26421,UFMG,"Brazil (Amapá, Minas Gerais, Paraná, São Paulo); French Guiana; Guyana; Paraguay",yes,canaa dos carajas,yes,Solitary,soil,subgenus,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
52,Apidae,Centridini,Centris,Centris,poecila,"Lepeletier, 1841",large,4.3,6.06444,2.65303,5.18219,6.08585,UFMG,Cuba,yes,canaa dos carajas,no,Solitary,soil,subgenus,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
53,Apidae,Centridini,Centris,Centris,spilopoda,"Moure, 1969",medium,3.7,3.48052,1.5541,3.53839,3.84223,UFMG,Brazil (Pará); Guyana,yes,nova lima,yes,Solitary,soil,subgenus,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
54,Apidae,Centridini,Centris,Centris,varia,"Erichson, 1849",large,4.2,5.60678,2.45992,4.91018,5.7029,MPEG,"Mexico (Guanajuato, Sonora); Neotropical Region: Bolivia; Brazil(Amapá, Amazonas, Maranhão, Pará); Colombia; Costa Rica; Guatemala; Guyana; Honduras; Mexico (Chiapas, Jalisco, Michoacán, Morelos, Nayarit, Oaxaca, Puebla, Veracruz); Panama (Chiriquí); Paraguay; Peru; Suriname; Trinidad and Tobago; Venezuela",yes,canaa dos carajas,yes,Solitary,soil,subgenus,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
55,Apidae,Centridini,Centris,Centris,varia,"Erichson, 1849",large,4.2,5.60678,2.45992,4.91018,5.7029,MPEG,"Mexico (Guanajuato, Sonora); Neotropical Region: Bolivia; Brazil(Amapá, Amazonas, Maranhão, Pará); Colombia; Costa Rica; Guatemala; Guyana; Honduras; Mexico (Chiapas, Jalisco, Michoacán, Morelos, Nayarit, Oaxaca, Puebla, Veracruz); Panama (Chiriquí); Paraguay; Peru; Suriname; Trinidad and Tobago; Venezuela",yes,nova lima,yes,Solitary,soil,subgenus,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
56,Apidae,Centridini,Centris,Hemisiella,dichrootricha,"Moure, 1945",large,4.8,8.63249,3.72768,6.60523,8.15333,UFMG,"Brazil (Rondônia); Panama (Coclé, Panamá)",yes,canaa dos carajas,no,Solitary,cavity,species,"Carvalho, G. C. A.; Carreira, L. M. M.; Rego, M. M. C. & Albuquerque, P. M. C. (2016) Nesting habits of Centris (Hemisiella) dichrootricha (Hymenoptera: Apidae) in the Northern Cerrado of Brazil. Rev. Biol. Trop. 64(3): 1041-1056."
57,Apidae,Centridini,Centris,Hemisiella,dichrootricha,"Moure, 1945",large,4.8,8.63249,3.72768,6.60523,8.15333,UFMG,"Brazil (Rondônia); Panama (Coclé, Panamá)",yes,carajas,no,Solitary,cavity,species,"Carvalho, G. C. A.; Carreira, L. M. M.; Rego, M. M. C. & Albuquerque, P. M. C. (2016) Nesting habits of Centris (Hemisiella) dichrootricha (Hymenoptera: Apidae) in the Northern Cerrado of Brazil. Rev. Biol. Trop. 64(3): 1041-1056."
58,Apidae,Centridini,Centris,Hemisiella,tarsata,"Smith, 1874",medium,3,1.82958,0.83652,2.2745,2.25555,MPEG,"Argentina (Mendoza); Brazil (Mato Grosso, Pará); Guatemala; Guyana; Panama (Panamá); Paraguay; Uruguay",yes,canaa dos carajas,yes,Solitary,cavity,species,"Buschini, M. L. T. & Wolff, L. L. (2006) Nesting biology of Centris (Hemisiella) tarsata Smith in Southern Brazil (Hymenoptera, Apidae, Centridini). Braz. J. Biol. 66 (4): 1091-1101."
59,Apidae,Centridini,Centris,Hemisiella,tarsata,"Smith, 1874",medium,3,1.82958,0.83652,2.2745,2.25555,MPEG,"Argentina (Mendoza); Brazil (Mato Grosso, Pará); Guatemala; Guyana; Panama (Panamá); Paraguay; Uruguay",yes,nova lima,yes,Solitary,cavity,species,"Buschini, M. L. T. & Wolff, L. L. (2006) Nesting biology of Centris (Hemisiella) tarsata Smith in Southern Brazil (Hymenoptera, Apidae, Centridini). Braz. J. Biol. 66 (4): 1091-1101."
60,Apidae,Centridini,Centris,Hemisiella,trigonoides,"Lepeletier, 1841",medium,3,1.71085,0.78417,2.17201,2.13361,UFMG,"Mexico (Sinaloa, Sonora); Neotropical Region: Brazil (Goiás, Pará, São Paulo); Costa Rica (Puntarenas); Guatemala; Honduras; Mexico (Chiapas, Guerrero, Jalisco, Morelos, Puebla, Quintana Roo, Yucatan); Nicaragua; Panama (Coclé, Colón, Panamá)",yes,canaa dos carajas,yes,Solitary,cavity,species,"Aguiar, C. M. L.; Garofalo, C. A. & Almeida, G. F. (2006) Aguiar, C.M.L. & Garófalo, C.A. 2006. Biologia de Nidificação de Centris (Hemisiella) trigonoides Lepeletier (Hymenoptera, Apidae, Centridini). Revista Brasileira de Zoologia 23 (2): 323-330."
61,Apidae,Centridini,Centris,Hemisiella,trigonoides,"Lepeletier, 1841",medium,3,1.71085,0.78417,2.17201,2.13361,UFMG,"Mexico (Sinaloa, Sonora); Neotropical Region: Brazil (Goiás, Pará, São Paulo); Costa Rica (Puntarenas); Guatemala; Honduras; Mexico (Chiapas, Guerrero, Jalisco, Morelos, Puebla, Quintana Roo, Yucatan); Nicaragua; Panama (Coclé, Colón, Panamá)",yes,nova lima,yes,Solitary,cavity,species,"Aguiar, C. M. L.; Garofalo, C. A. & Almeida, G. F. (2006) Aguiar, C.M.L. & Garófalo, C.A. 2006. Biologia de Nidificação de Centris (Hemisiella) trigonoides Lepeletier (Hymenoptera, Apidae, Centridini). Revista Brasileira de Zoologia 23 (2): 323-330."
62,Apidae,Centridini,Centris,Hemisiella,vittata,"Lepeletier, 1841",large,4.9,9.12431,3.93202,6.86157,8.53624,MPEG,"Bolivia; Brazil (Amazonas, Minas Gerais, Pará, São Paulo); Colombia; Costa Rica; French Guiana (Cayenne); Guyana; Honduras; Mexico (Jalisco); Panama (Chiriquí); Paraguay; Peru; Uruguay; Venezuela",no,canaa dos carajas,yes,Solitary,cavity,species,"Ramos, M.; Albuquerque, P. & Rego, M. (2010) Nesting Behavior of Centris (Hemisiella) vittata Lepeletier (Hymenoptera: Apidae) in an Area of the Cerrado in the Northeast of the State of Maranhão, Brazil. Neotropical Entomology 39(3):379-383."
63,Apidae,Centridini,Centris,Hemisiella,vittata,"Lepeletier, 1841",large,4.9,9.12431,3.93202,6.86157,8.53624,MPEG,"Bolivia; Brazil (Amazonas, Minas Gerais, Pará, São Paulo); Colombia; Costa Rica; French Guiana (Cayenne); Guyana; Honduras; Mexico (Jalisco); Panama (Chiriquí); Paraguay; Peru; Uruguay; Venezuela",no,nova lima,yes,Solitary,cavity,species,"Ramos, M.; Albuquerque, P. & Rego, M. (2010) Nesting Behavior of Centris (Hemisiella) vittata Lepeletier (Hymenoptera: Apidae) in an Area of the Cerrado in the Northeast of the State of Maranhão, Brazil. Neotropical Entomology 39(3):379-383."
64,Apidae,Centridini,Centris,Heterocentris,terminata,"Smith, 1874",medium,3.8,3.8775,1.72448,3.811,4.20181,UFMG,Brazil (Pará); Ecuador,yes,canaa dos carajas,yes,Solitary,cavity,species,"Drummont, P.; Silva, F. O. & Viana, B. F. (2008) Ninhos de Centris (Heterocentris) terminata Smith (Hymenoptera: Apidae, Centridini) em Fragmentos de Mata Atlântica Secundária, Salvador, BA. Neotropical Entomology 37(3): 239-246."
65,Apidae,Centridini,Centris,Melacentris,collaris,"Lepeletier, 1841",large,6.9,28.87793,11.92748,15.1446,22.16722,UFMG,"Brazil (Mato Grosso, Minas Gerais, São Paulo); Paraguay",yes,canaa dos carajas,yes,Solitary,soil,species,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
66,Apidae,Centridini,Centris,Melacentris,collaris,"Lepeletier, 1841",large,6.9,28.87793,11.92748,15.1446,22.16722,UFMG,"Brazil (Mato Grosso, Minas Gerais, São Paulo); Paraguay",yes,nova lima,yes,Solitary,soil,species,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
67,Apidae,Centridini,Centris,Melacentris,confusa,"Moure, 1960",large,6.6,24.36118,10.12517,13.47406,19.25431,UFMG,Brazil (São Paulo); French Guiana,yes,nova lima,no,Solitary,soil,subgenus,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
68,Apidae,Centridini,Centris,Melacentris,conspersa,"Mocsáry, 1899",large,6.9,29.4453,12.15311,15.34845,22.52736,UFMG,"Brazil (Bahia, Espírito Santo, Maranhão, Minas Gerais, Pará, Piauí); Guyana",no,nova lima,no,Solitary,soil,species,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
69,Apidae,Centridini,Centris,Melacentris,discolor,Smith 1874,large,8,47.11311,19.11144,21.19985,33.24942,UFMG,"Brazil (Minas Gerais, Rio Grande do Sul, Rio de Janeiro); Venezuela(Mérida)",no,nova lima,no,Solitary,soil,subgenus,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
70,Apidae,Centridini,Centris,Melacentris,dorsata,"Lepeletier, 1841",large,6.8,26.95259,11.16059,14.44331,20.93589,UFMG,"Bolivia (Cochabamba); Brazil (Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, Santa Catarina, São Paulo)",yes,canaa dos carajas,no,Solitary,soil,species,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
71,Apidae,Centridini,Centris,Melacentris,obsoleta,Lepeleier 1841,large,6.5,23.37553,9.7303,13.09704,18.60678,UFMG,"Argentina (Corrientes); Brazil (Amazonas, Ceará, Mato Grosso, Pará, São Paulo); French Guiana; Paraguay; Venezuela (Mérida)",yes,canaa dos carajas,yes,Solitary,soil,subgenus,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
72,Apidae,Centridini,Centris,Melacentris,rhodoprocta,"Moure & Seabra, 1960",large,8.7,63.01179,25.2884,25.88857,42.30383,MPEG,Brazil (Amazonas); Colombia (Meta); Ecuador (Pastaza); Peru(Loreto),yes,carajas,yes,Solitary,soil,subgenus,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
73,Apidae,Centridini,Centris,Melacentris,rhodoprocta,"Moure & Seabra, 1960",large,8.7,63.01179,25.2884,25.88857,42.30383,MPEG,Brazil (Amazonas); Colombia (Meta); Ecuador (Pastaza); Peru(Loreto),yes,canaa dos carajas,yes,Solitary,soil,subgenus,"Rocha-Filho, L. C.; Ferreira-Caliman, M. J.; Serrano, J. C.; Camargo, J. M. F. & Garofalo, C. A. (2017) Nesting ecology of the oil-collecting bee Centris (Melacentris) conspersa Mocsáry and its potential association with the cleptoparasite Cyphomelissa diabolica Friese (Apidae: Centridini, Ericrocidini). Journal of Apicultural Research, 56 (5): 489-496."
